title;description;url;image
Python;I have done projects in python where i have bulit from todo App to ChatGPT integrate API.;https://pythonhow.com;python.png
Flutter;A dart framework for mobile app Development where I have created a Shopping App.;https://pythonhow.com;flutter.png
Java;I have also bulit a e-commerce website.;https://pythonhow.com;java.png
Machine Learning;As my majors I have built from sentiment analysis to Voice Object Identification Model;https://pythonhow.com;machine.png
